	 GFP9 -Oh- A	 GFP9 -Oh- B	 GFP9 -Oh- C	 M3-12 -Oh- A	 M3-12 -Oh- B	 M3-12 -Oh- C	 Me3-8 -Oh- A	 Me3-8 -Oh- B	 Me3-8 -Oh- C	 O2-9 -Oh- A	 O2-9 -Oh- B	 O2-9 -Oh- C
3-HYDROXYMETHYLGLUTARATE	4.48E-05	3.24E-05	3.00E-05	4.26E-05	4.58E-05	5.62E-05	4.42E-05	4.17E-05	3.19E-05	3.18E-05	3.16E-05	4.01E-05
RHAMNOSE	1.53E-05	1.41E-05	2.05E-05	1.88E-05	1.77E-05	1.93E-05	2.05E-05	2.05E-05	5.19E-07	6.91E-07	1.69E-05	1.64E-05
N-ACETYLMETHIONINE	4.79E-05	7.65E-05	6.47E-05	3.52E-05	4.74E-05	4.70E-05	5.03E-05	5.64E-05	4.06E-05	6.08E-05	9.40E-05	5.10E-05
N-FORMYL-L-METHIONINE	1.96E-05	2.52E-05	2.42E-05	7.35E-06	7.22E-06	8.03E-06	8.95E-06	1.03E-05	1.17E-05	2.72E-05	3.39E-05	2.24E-05
SORBATE	4.50E-07	4.78E-07	6.09E-07	5.01E-07	6.89E-07	5.38E-07	6.74E-07	6.21E-07	5.19E-07	6.91E-07	6.09E-07	5.79E-07
4-HYDROXY-3-METHOXYPHENYLGLYCOL	2.49E-05	1.47E-05	6.09E-07	1.73E-05	2.42E-05	1.69E-05	1.91E-05	1.84E-05	2.07E-05	2.68E-05	1.89E-05	2.67E-05
TRIMETHYLAMINE	2.71E-05	1.86E-05	3.52E-05	4.29E-05	6.21E-05	4.42E-05	3.48E-05	4.22E-05	4.75E-05	4.15E-05	3.97E-05	3.28E-05
GLUCOSE 1-PHOSPHATE	1.38E-03	2.16E-03	2.16E-03	1.17E-03	1.40E-03	5.21E-04	2.51E-03	3.49E-03	1.26E-03	3.16E-03	3.53E-03	1.94E-03
N-ACETYLASPARTATE	6.19E-06	1.07E-05	1.41E-05	7.66E-06	8.46E-06	1.12E-05	6.39E-06	9.03E-06	7.48E-06	7.29E-06	5.46E-06	9.21E-06
OXOADIPATE	5.89E-06	2.92E-06	3.26E-06	1.22E-05	1.50E-05	1.32E-05	1.27E-05	1.12E-05	1.03E-05	6.15E-06	9.06E-06	1.35E-05
PYROCATECHOL	4.50E-07	4.78E-07	6.09E-07	5.01E-07	6.89E-07	5.38E-07	6.74E-07	6.21E-07	5.19E-07	6.91E-07	6.09E-07	5.79E-07
4-METHYLCATECHOL	4.50E-07	4.78E-07	6.09E-07	5.01E-07	6.89E-07	5.38E-07	6.74E-07	6.21E-07	5.19E-07	6.91E-07	6.09E-07	5.79E-07
SORBITOL	1.92E-05	2.19E-05	2.16E-05	5.01E-07	2.13E-05	1.21E-05	6.74E-07	2.18E-05	5.19E-07	2.76E-05	2.01E-05	2.40E-05
GLUCOSE 6-PHOSPHATE	1.38E-03	2.16E-03	2.16E-03	1.17E-03	1.40E-03	5.21E-04	2.51E-03	3.49E-03	1.26E-03	3.17E-03	3.53E-03	1.94E-03
MANNOSE 6-PHOSPHATE	1.34E-03	2.17E-03	2.22E-03	1.16E-03	1.36E-03	4.98E-04	2.57E-03	3.52E-03	1.34E-03	3.18E-03	3.55E-03	1.89E-03
FRUCTOSE 6-PHOSPHATE	1.38E-03	2.16E-03	2.16E-03	1.17E-03	1.40E-03	5.21E-04	2.51E-03	3.49E-03	1.26E-03	3.16E-03	3.53E-03	1.94E-03
FUMARATE	8.14E-05	9.08E-05	1.01E-04	3.63E-05	5.00E-05	4.73E-05	3.48E-05	3.78E-05	3.09E-05	7.49E-05	1.21E-04	5.93E-05
MALEATE	9.22E-05	9.17E-05	1.02E-04	3.65E-05	5.10E-05	5.21E-05	3.52E-05	3.89E-05	3.13E-05	7.63E-05	1.22E-04	6.03E-05
O-ACETYLCARNITINE-2	1.27E-03	1.13E-03	8.68E-04	4.85E-04	4.74E-04	1.28E-03	2.88E-04	2.32E-04	5.08E-04	2.69E-04	3.02E-04	3.27E-04
L-CARNITINE	5.12E-02	3.88E-02	4.32E-02	4.08E-02	4.23E-02	5.66E-02	5.10E-02	4.37E-02	6.01E-02	6.48E-02	6.89E-02	6.96E-02
KYNURENATE	8.52E-06	5.18E-06	4.28E-06	7.34E-06	6.89E-07	1.08E-05	6.74E-07	3.91E-06	7.15E-06	6.91E-07	5.29E-06	7.17E-06
D-ALANINE	5.26E-04	6.28E-04	9.10E-04	2.13E-04	2.78E-04	1.16E-04	2.42E-04	2.34E-04	1.62E-04	3.25E-04	3.15E-04	2.63E-04
N-ACETYLALANINE	3.17E-06	8.61E-05	8.34E-05	3.09E-05	4.00E-05	3.67E-05	3.95E-05	4.49E-05	2.77E-05	7.57E-05	1.19E-04	6.66E-05
L-ALANINE	5.29E-04	6.30E-04	8.97E-04	2.16E-04	2.82E-04	1.18E-04	2.41E-04	2.36E-04	1.63E-04	3.27E-04	3.18E-04	2.66E-04
3-(2-HYDROXYPHENYL)PROPANOATE	1.18E-05	1.33E-05	1.25E-05	1.07E-05	1.15E-05	1.46E-05	1.16E-05	1.28E-05	9.84E-06	1.89E-05	2.19E-05	1.74E-05
MALATE	1.61E-03	1.73E-03	1.93E-03	7.55E-04	8.26E-04	5.91E-04	6.03E-04	7.17E-04	4.51E-04	1.15E-03	2.32E-03	1.26E-03
DEOXYURIDINE	4.50E-07	4.78E-07	6.09E-07	5.01E-07	6.89E-07	5.38E-07	6.74E-07	6.21E-07	5.19E-07	6.91E-07	6.09E-07	5.79E-07
2-HYDROXY-4-(METHYLTHIO)BUTANOATE	1.27E-05	1.36E-05	8.34E-06	7.80E-06	9.07E-06	7.48E-06	8.37E-06	1.07E-05	8.06E-06	2.13E-05	2.36E-05	1.93E-05
DEOXYINOSINE	2.33E-05	1.82E-05	2.67E-05	2.17E-05	2.28E-05	2.29E-05	2.54E-05	2.13E-05	3.41E-05	2.15E-05	2.44E-05	2.88E-05
P-HYDROXYPHENYLACETATE	6.74E-06	1.22E-05	1.43E-05	1.09E-05	6.89E-07	1.16E-05	1.26E-05	9.85E-06	1.48E-05	1.47E-05	1.18E-05	1.13E-05
MANDELATE	4.50E-07	1.24E-05	1.45E-05	1.10E-05	6.89E-07	1.20E-05	1.27E-05	1.02E-05	1.51E-05	1.51E-05	1.23E-05	1.49E-05
Isovalerylcarnitine	3.52E-04	2.69E-04	2.73E-04	3.42E-04	3.87E-04	5.83E-04	2.32E-04	2.26E-04	3.47E-04	3.10E-04	3.24E-04	3.86E-04
N-ACETYLLEUCINE	2.34E-05	1.74E-05	2.58E-05	1.86E-05	2.43E-05	2.76E-05	8.78E-06	1.13E-05	1.56E-05	1.25E-05	1.39E-05	1.52E-05
"3,4-DIHYDROXYPHENYLACETATE-1"	4.50E-07	4.78E-07	6.09E-07	5.01E-07	6.89E-07	5.38E-07	6.74E-07	6.21E-07	5.19E-07	6.91E-07	6.09E-07	5.79E-07
INOSINE	4.57E-05	2.35E-05	4.10E-05	3.09E-05	2.00E-05	3.68E-05	1.34E-04	3.11E-05	2.25E-04	1.81E-05	8.05E-06	3.13E-05
STACHYOSE	3.42E-05	2.21E-05	2.84E-05	3.36E-05	3.35E-05	3.26E-05	2.35E-05	2.34E-05	2.04E-05	2.72E-05	2.18E-05	2.21E-05
N-ACETYLPHENYLALANINE	1.97E-05	1.35E-05	2.34E-05	1.18E-05	1.97E-05	2.53E-05	4.19E-06	6.03E-06	1.14E-05	1.01E-05	6.61E-06	1.08E-05
2-AMINOPHENOL-2	1.31E-05	1.60E-05	1.30E-05	1.38E-05	2.07E-05	2.55E-05	1.20E-05	1.19E-05	1.73E-05	1.27E-05	1.61E-05	1.47E-05
PROLINE	4.49E-03	6.63E-03	5.28E-03	4.21E-03	3.93E-03	5.01E-03	1.46E-03	1.33E-03	1.82E-03	3.33E-03	2.86E-03	3.45E-03
INDOLE-3-PYRUVATE	4.50E-07	4.78E-07	6.09E-07	5.01E-07	6.89E-07	5.38E-07	6.74E-07	6.21E-07	5.19E-07	6.91E-07	6.09E-07	5.79E-07
GLYCERATE	1.55E-05	9.50E-06	1.22E-05	1.12E-05	1.49E-05	2.18E-05	1.20E-05	8.75E-06	1.34E-05	1.41E-05	1.45E-05	1.06E-05
BETA-NICOTINAMIDE ADENINE DINUCLEOTIDE-2	4.50E-07	4.78E-07	6.09E-07	5.01E-07	6.89E-07	5.38E-07	6.74E-07	6.21E-07	5.19E-07	6.91E-07	6.09E-07	5.79E-07
SUCCINATE	1.05E-03	9.33E-04	8.02E-04	1.48E-03	2.47E-03	2.06E-03	9.80E-04	6.64E-04	1.19E-03	8.46E-04	7.68E-04	8.09E-04
SALSOLINOL-2	2.18E-05	2.30E-05	4.66E-05	1.95E-05	1.91E-05	1.02E-04	1.67E-05	1.65E-05	1.68E-05	2.11E-05	6.09E-07	4.66E-05
5-Methyluridine	4.50E-07	4.78E-07	6.09E-07	5.01E-07	6.89E-07	5.38E-07	6.74E-07	6.21E-07	5.19E-07	6.91E-07	6.09E-07	5.79E-07
ARGININE	4.67E-03	3.31E-03	3.28E-03	4.70E-03	4.47E-03	3.62E-03	3.20E-03	4.13E-03	2.61E-03	4.17E-03	3.22E-03	2.96E-03
RAFFINOSE	2.55E-05	1.79E-05	2.12E-05	2.31E-05	2.89E-05	2.48E-05	1.70E-05	1.89E-05	1.78E-05	2.42E-05	1.57E-05	1.97E-05
URACIL-1	6.20E-05	6.12E-05	6.13E-05	7.32E-05	7.95E-05	6.76E-05	6.29E-05	5.46E-05	6.03E-05	6.10E-05	5.44E-05	5.46E-05
URIDINE	2.18E-05	2.11E-05	1.83E-05	1.66E-05	2.24E-05	3.48E-05	1.63E-05	1.85E-05	2.86E-05	2.10E-05	3.13E-05	2.47E-05
CREATINE	1.31E-01	1.47E-01	1.79E-01	1.29E-01	1.74E-01	1.59E-01	1.78E-01	1.90E-01	1.61E-01	1.67E-01	1.84E-01	1.52E-01
5-HYDROXYTRYPTOPHAN	6.29E-06	4.17E-06	4.12E-06	4.88E-06	8.89E-06	1.11E-05	6.74E-07	5.73E-06	5.91E-06	6.91E-07	5.34E-06	4.10E-06
URACIL-2	3.54E-05	2.87E-05	3.26E-05	3.10E-05	3.65E-05	4.24E-05	2.35E-05	2.04E-05	3.25E-05	2.71E-05	2.23E-05	2.66E-05
CYSTINE	1.06E-04	1.13E-04	1.26E-04	8.52E-05	1.15E-04	2.85E-05	6.74E-07	6.21E-07	5.19E-07	6.91E-07	6.09E-07	5.79E-07
"N,N,N-TRIMETHYLLYSINE"	1.05E-04	9.68E-05	8.61E-05	1.10E-04	1.07E-04	6.62E-05	9.49E-05	1.25E-04	4.69E-05	1.24E-04	9.96E-05	6.70E-05
SERINE	2.30E-04	4.17E-04	4.97E-04	2.22E-04	2.60E-04	1.08E-04	2.13E-04	2.38E-04	1.18E-04	3.20E-04	2.14E-04	1.52E-04
2-HYDROXYBUTYRATE	3.25E-05	1.54E-05	1.92E-05	1.95E-05	2.11E-05	2.26E-05	1.20E-05	1.55E-05	2.03E-05	1.45E-05	1.26E-05	1.33E-05
Lactoylglutathione	4.50E-07	4.78E-07	6.09E-07	5.01E-07	6.89E-07	5.38E-07	6.74E-07	6.21E-07	5.19E-07	6.91E-07	6.09E-07	5.79E-07
DEOXYCYTIDINE-1	2.33E-05	1.66E-05	1.30E-05	2.52E-05	2.60E-05	3.42E-05	1.51E-05	1.87E-05	2.21E-05	6.91E-07	2.22E-05	2.37E-05
2-HYDROXYGLUTARIC	2.22E-05	1.19E-04	1.24E-04	3.06E-04	4.37E-04	3.51E-04	3.70E-04	4.31E-04	4.40E-04	1.62E-04	2.19E-04	2.28E-04
NICOTINAMIDE-1	2.20E-03	2.18E-03	1.93E-03	2.54E-03	3.22E-03	5.46E-03	1.87E-03	2.08E-03	3.14E-03	2.49E-03	2.42E-03	2.97E-03
GLYCERALDEHYDE	1.94E-02	1.66E-02	1.30E-02	1.95E-02	2.72E-02	2.21E-02	1.60E-02	2.05E-02	1.85E-02	1.97E-02	2.72E-02	2.04E-02
4-PYRIDOXATE	1.11E-05	6.14E-06	3.00E-06	8.47E-06	1.20E-05	2.24E-05	6.27E-06	6.21E-07	1.26E-05	7.44E-06	6.74E-06	8.79E-06
O-ACETYLCARNITINE	9.43E-03	1.34E-02	1.10E-02	4.23E-03	3.56E-03	5.35E-03	2.49E-03	2.27E-03	2.46E-03	3.03E-03	3.18E-03	2.78E-03
N-ACETYLASPARAGINE	1.34E-05	1.23E-05	1.46E-05	1.35E-05	1.38E-05	2.42E-05	7.97E-06	9.46E-06	2.23E-05	9.58E-06	1.10E-05	1.14E-05
cis-ACONITATE-1	2.64E-05	2.85E-05	2.24E-05	1.55E-05	1.62E-05	2.46E-05	8.68E-06	8.68E-06	1.35E-05	9.93E-06	1.55E-05	1.31E-05
CITRULLINE	1.73E-04	1.92E-04	1.76E-04	1.89E-04	1.53E-04	6.00E-05	1.36E-04	1.61E-04	3.71E-05	1.67E-04	1.49E-04	1.40E-04
LACTATE	1.99E-02	1.72E-02	1.36E-02	2.04E-02	2.84E-02	2.30E-02	1.64E-02	2.18E-02	1.97E-02	2.08E-02	2.84E-02	2.17E-02
RIBOFLAVIN	3.80E-05	1.56E-05	1.12E-05	3.97E-05	3.62E-05	4.84E-05	1.54E-05	1.28E-05	2.32E-05	2.30E-05	1.81E-05	1.68E-05
DEOXYCARNITINE	5.45E-03	5.51E-03	5.58E-03	3.59E-03	3.68E-03	4.95E-03	4.70E-03	4.14E-03	4.61E-03	5.94E-03	5.95E-03	5.89E-03
CITRATE	2.83E-03	2.73E-03	2.09E-03	1.52E-03	1.59E-03	2.33E-03	6.70E-04	6.85E-04	9.36E-04	1.17E-03	1.11E-03	1.14E-03
GLYCINE	1.36E-03	1.26E-03	1.37E-03	1.36E-03	1.62E-03	2.34E-04	1.10E-03	1.21E-03	6.50E-04	1.19E-03	1.06E-03	1.10E-03
AMINOADIPATE	9.89E-05	1.08E-04	1.06E-04	1.77E-04	2.07E-04	2.68E-04	2.62E-04	2.09E-04	3.56E-04	2.11E-04	2.07E-04	2.11E-04
OXOGLUTARATE	5.45E-06	3.91E-05	2.37E-05	2.97E-04	3.78E-04	3.03E-04	4.72E-04	6.56E-04	4.30E-04	3.45E-04	4.61E-04	3.49E-04
1-METHYL-L-HISTIDINE	1.64E-04	1.41E-04	1.42E-04	1.41E-04	1.89E-04	1.45E-04	1.69E-04	1.39E-04	5.19E-07	1.67E-04	6.09E-07	5.79E-07
ALLOTHREONINE	1.01E-02	4.78E-07	8.72E-03	5.01E-07	6.89E-07	3.29E-04	7.22E-03	7.47E-03	4.02E-03	7.97E-03	7.48E-03	8.66E-03
HEXOSE	1.22E-03	1.60E-03	1.61E-03	1.51E-03	1.79E-03	3.12E-04	1.17E-03	1.17E-03	3.92E-04	2.72E-03	2.15E-03	1.67E-03
CYTIDINE	8.73E-04	5.88E-04	7.21E-04	2.11E-03	2.48E-03	3.00E-03	1.31E-03	9.10E-04	7.09E-04	1.32E-03	7.81E-04	7.57E-04
HOMOSERINE	1.01E-02	4.78E-07	8.73E-03	5.01E-07	6.89E-07	3.32E-04	7.22E-03	7.48E-03	4.03E-03	7.97E-03	7.49E-03	8.65E-03
CARNOSINE	1.38E-04	1.16E-04	1.11E-04	1.07E-04	1.13E-04	9.92E-05	8.22E-05	9.03E-05	6.08E-05	2.17E-04	1.66E-04	1.30E-04
4-ACETAMIDOBUTANOATE	3.06E-05	1.78E-05	1.62E-05	3.08E-05	3.50E-05	4.84E-05	1.62E-05	1.75E-05	2.87E-05	2.05E-05	1.80E-05	2.88E-05
GLYCOCHOLATE	4.36E-05	2.05E-05	1.94E-05	4.37E-05	4.75E-05	6.86E-05	2.03E-05	1.90E-05	3.85E-05	2.31E-05	2.21E-05	3.29E-05
N-ALPHA-ACETYLLYSINE	8.19E-05	5.06E-05	7.45E-05	5.85E-05	5.89E-05	1.24E-04	4.88E-05	4.11E-05	7.20E-05	4.26E-05	3.56E-05	5.15E-05
L-ORNITHINE	8.04E-05	9.50E-05	8.96E-05	1.05E-04	1.07E-04	9.26E-05	8.19E-05	1.08E-04	6.56E-05	1.06E-04	7.60E-05	7.30E-05
PROPIONYLCARNITINE	1.27E-03	7.28E-04	7.72E-04	1.07E-03	1.06E-03	1.77E-03	4.60E-04	4.54E-04	8.10E-04	5.80E-04	6.17E-04	7.54E-04
XANTHOSINE	5.19E-05	3.62E-05	3.08E-05	3.62E-05	4.44E-05	6.77E-05	4.11E-05	2.82E-05	4.70E-05	3.68E-05	3.51E-05	3.53E-05
NICOTINAMIDE-2	1.63E-02	1.14E-02	1.12E-02	1.70E-02	1.67E-02	2.10E-02	1.06E-02	1.02E-02	1.36E-02	1.12E-02	1.19E-02	1.22E-02
D-ORNITHINE	1.14E-04	1.17E-04	1.11E-04	1.29E-04	1.46E-04	1.47E-04	9.73E-05	1.25E-04	9.36E-05	1.29E-04	9.47E-05	1.00E-04
METHIONINE SULFOXIDE	6.32E-05	6.50E-05	1.10E-04	3.33E-05	4.88E-05	7.38E-05	2.79E-05	1.48E-04	3.06E-05	4.68E-05	1.15E-04	3.44E-05
CITRAMALATE	3.93E-05	2.27E-05	4.30E-05	2.50E-05	2.74E-05	5.76E-05	2.33E-05	1.02E-05	2.56E-05	1.60E-05	1.38E-05	2.36E-05
URATE-2	7.66E-06	3.12E-04	2.20E-04	6.88E-04	5.91E-04	1.03E-03	2.62E-04	2.46E-04	4.72E-04	3.58E-04	2.83E-04	4.08E-04
URATE-1	7.66E-06	3.12E-04	2.20E-04	6.88E-04	5.91E-04	1.03E-03	2.61E-04	2.46E-04	4.72E-04	3.58E-04	2.83E-04	4.08E-04
GLUCONATE	6.54E-03	6.24E-03	4.63E-03	3.20E-03	3.35E-03	6.49E-04	5.15E-03	6.36E-03	1.68E-03	9.03E-03	9.56E-03	6.03E-03
BUTANOATE	2.34E-05	2.02E-05	2.06E-05	2.63E-05	2.73E-05	4.43E-05	1.95E-05	2.26E-05	2.78E-05	1.96E-05	2.25E-05	2.74E-05
FOLATE	6.03E-04	2.82E-04	2.21E-04	5.20E-04	5.84E-04	8.51E-04	2.39E-04	2.39E-04	4.41E-04	3.70E-04	2.70E-04	4.10E-04
Butyrylcarnitine	1.08E-02	1.46E-02	1.84E-02	1.29E-02	1.72E-02	2.16E-02	1.63E-02	1.61E-02	1.85E-02	1.97E-02	2.35E-02	2.41E-02
Hydroxyphenyllactic acid	1.16E-04	1.46E-04	1.10E-04	8.40E-05	9.36E-05	1.31E-04	6.27E-05	1.01E-04	8.46E-05	1.56E-04	2.37E-04	1.64E-04
HYDROXYPHENYLLACTATE	1.25E-04	1.45E-04	1.09E-04	8.54E-05	9.25E-05	1.36E-04	6.61E-05	1.06E-04	8.94E-05	1.56E-04	2.38E-04	1.61E-04
ALLANTOIN	8.35E-05	5.14E-05	4.79E-05	7.39E-05	7.74E-05	1.25E-04	3.93E-05	4.70E-05	5.92E-05	5.13E-05	4.89E-05	5.16E-05
PYRUVATE	1.48E-04	9.18E-05	8.97E-05	2.93E-04	2.72E-04	3.05E-04	2.12E-04	2.89E-04	2.63E-04	3.72E-04	4.00E-04	3.67E-04
URIDINE DIPHOSPHATE GLUCOSE	5.21E-04	8.91E-04	1.08E-03	7.84E-04	1.08E-03	8.79E-04	5.89E-04	2.65E-05	7.86E-04	2.43E-05	1.13E-03	7.14E-04
PYROGLUTAMATE	4.50E-07	1.16E-05	2.08E-05	2.40E-05	2.55E-05	1.54E-03	1.72E-05	5.49E-06	3.46E-04	2.62E-05	1.32E-05	2.76E-05
ISOLEUCINE	7.91E-03	6.14E-03	5.99E-03	7.31E-03	7.67E-03	1.06E-02	4.73E-03	4.78E-03	7.16E-03	5.18E-03	5.73E-03	7.91E-03
SALSOLINOL-1	1.74E-05	1.81E-05	3.25E-05	1.80E-05	6.89E-07	5.48E-05	6.74E-07	1.64E-05	1.15E-05	2.06E-05	6.09E-07	3.06E-05
KYNURENINE	4.50E-07	9.61E-05	1.15E-04	1.46E-04	1.24E-04	1.49E-04	9.80E-05	1.35E-04	1.16E-04	1.01E-04	8.19E-05	9.24E-05
LYSINE	6.01E-04	3.94E-04	4.17E-04	6.15E-04	8.23E-04	1.01E-03	4.55E-04	4.73E-04	6.39E-04	4.63E-04	4.09E-04	5.75E-04
PHENYLALANINE	7.51E-02	5.26E-02	5.02E-02	7.32E-02	7.62E-02	1.06E-01	4.53E-02	4.46E-02	6.91E-02	4.21E-02	4.19E-02	5.64E-02
2-METHYLMALEATE	2.33E-05	1.68E-05	1.65E-05	1.34E-05	2.13E-05	2.07E-05	2.01E-05	1.54E-05	1.83E-05	1.91E-05	1.64E-05	1.53E-05
ETHYLMALONATE	3.86E-05	3.06E-05	2.79E-05	2.16E-05	3.92E-05	5.89E-05	1.55E-05	1.01E-05	2.99E-05	2.66E-05	1.63E-05	2.39E-05
PYRIDOXINE-1	2.19E-02	1.40E-02	1.41E-02	2.36E-02	2.40E-02	2.89E-02	1.41E-02	1.50E-02	1.97E-02	2.00E-02	1.62E-02	1.97E-02
THREONINE	2.05E-03	2.68E-03	2.71E-03	2.34E-03	2.46E-03	1.09E-03	2.55E-03	2.91E-03	1.55E-03	2.41E-03	2.36E-03	1.93E-03
LEUCINE	7.86E-03	5.95E-03	1.23E-02	7.06E-03	7.59E-03	1.04E-02	4.68E-03	1.20E-02	1.51E-02	5.04E-03	5.25E-03	1.36E-02
GLYCOCHENODEOXYCHOLATE	2.79E-04	1.53E-04	1.38E-04	2.76E-04	3.31E-04	4.38E-04	9.24E-05	1.36E-04	2.24E-04	1.52E-04	1.63E-04	2.09E-04
PYRIDOXINE-2	2.19E-02	1.40E-02	1.41E-02	2.36E-02	2.40E-02	2.89E-02	1.41E-02	1.50E-02	1.97E-02	2.00E-02	1.62E-02	1.97E-02
N-ACETYLNEURAMINATE	8.06E-04	6.59E-04	6.72E-04	1.12E-03	1.16E-03	1.48E-03	8.42E-04	6.09E-04	9.31E-04	5.69E-04	5.00E-04	6.72E-04
GLUTAMATE	6.18E-02	5.94E-02	2.55E-04	6.44E-02	2.76E-04	2.46E-02	5.24E-02	4.30E-02	2.91E-02	4.17E-02	3.82E-02	4.11E-02
N-METHYLASPARTATE	6.18E-02	5.94E-02	2.54E-04	6.44E-02	2.43E-04	2.46E-02	5.24E-02	4.30E-02	2.91E-02	4.17E-02	3.82E-02	4.11E-02
OXOPROLINE	8.49E-05	1.60E-02	1.82E-02	2.15E-02	2.44E-02	3.33E-02	1.34E-02	1.34E-02	2.12E-02	1.39E-02	1.56E-02	2.06E-02
TRYPTOPHAN	4.21E-03	2.87E-03	2.56E-03	3.67E-03	4.22E-03	7.42E-03	2.58E-03	2.37E-03	4.13E-03	2.29E-03	2.12E-03	3.09E-03
HIPPURATE	4.08E-04	2.15E-04	1.85E-04	3.90E-04	4.63E-04	7.16E-04	1.61E-04	1.70E-04	3.80E-04	2.07E-04	2.05E-04	3.12E-04
XANTHINE-2	4.89E-04	2.74E-04	2.27E-04	4.31E-04	4.87E-04	7.48E-04	2.23E-04	2.07E-04	4.18E-04	2.61E-04	2.35E-04	3.10E-04
3-METHYL-2-OXOVALERATE	1.53E-03	9.54E-04	6.50E-04	2.66E-03	2.78E-03	3.71E-03	1.42E-03	1.76E-03	2.11E-03	1.06E-03	1.19E-03	1.27E-03
ITACONATE	2.52E-05	1.77E-05	1.87E-05	1.53E-05	2.57E-05	2.85E-05	2.25E-05	1.84E-05	2.11E-05	2.70E-05	1.95E-05	1.80E-05
"N,N-DIMETHYLARGININE"	5.62E-04	4.63E-04	1.59E-04	6.49E-04	7.63E-04	9.17E-04	4.89E-04	5.51E-04	7.74E-04	6.28E-04	6.00E-04	6.91E-04
KETOLEUCINE	1.58E-03	1.00E-03	6.70E-04	2.72E-03	2.87E-03	3.75E-03	1.44E-03	1.80E-03	2.13E-03	1.10E-03	1.20E-03	1.30E-03
2-KETOHEXANOIC	1.02E-03	6.56E-04	3.68E-04	1.79E-03	1.88E-03	2.45E-03	1.06E-03	1.25E-03	1.40E-03	7.84E-04	9.45E-04	9.41E-04
CREATININE	1.49E-02	1.29E-02	1.46E-02	1.33E-02	1.33E-02	2.10E-02	1.06E-02	1.01E-02	1.57E-02	8.86E-03	9.34E-03	1.19E-02
PANTOTHENATE	2.66E-03	1.43E-03	1.52E-03	2.68E-03	3.45E-03	5.69E-03	1.29E-03	1.57E-03	3.19E-03	1.15E-03	1.12E-03	1.56E-03
METHIONINE-1	4.20E-03	3.33E-03	3.22E-03	4.35E-03	4.43E-03	6.05E-03	2.90E-03	2.75E-03	4.24E-03	2.72E-03	2.67E-03	3.41E-03
METHIONINE-2	4.65E-03	2.72E-03	2.50E-03	4.41E-03	3.81E-03	6.06E-03	2.30E-03	2.01E-03	3.60E-03	2.04E-03	1.92E-03	2.63E-03
TYROSINE	5.31E-03	4.58E-03	4.57E-03	5.57E-03	6.36E-03	1.05E-02	3.83E-03	4.08E-03	6.49E-03	3.48E-03	3.70E-03	5.00E-03
GLUTAMINE	1.02E-01	7.47E-02	7.33E-02	9.39E-02	9.44E-02	2.68E-02	6.04E-02	6.48E-02	4.94E-02	4.91E-02	3.79E-02	5.93E-02
BETAINE	4.11E-02	3.92E-02	4.64E-02	3.68E-02	4.49E-02	5.59E-02	3.53E-02	3.39E-02	4.99E-02	3.55E-02	3.23E-02	3.29E-02
GLUTARYLCARNITINE	1.83E-03	5.37E-04	5.41E-04	2.07E-03	1.58E-03	2.74E-03	4.33E-04	4.11E-04	1.01E-03	7.47E-04	5.53E-04	9.58E-04
