Protein Id,Gene Symbol,Description,Group ID,Number of peptides,Collapsed?,GFP5-1 Sum,GFP5-2 Sum,GFP9-1 Sum,GFP9-2 Sum,Me2.14-1 Sum,Me2.14-2 Sum,Me3.8-1 Sum,Me3.8-2 Sum,O2.9-1 Sum,O2.9-2 Sum,O2.10-1 Sum
sp|P50462|CSRP3_MOUSE,Csrp3,CSRP3_MOUSE Cysteine and glycine-rich protein 3,2737,2,C,973.17,976.222,354.81,329.051,93.9718,88.6974,28.0594,32.8742,36.4201,34.6427,79.2763
sp|P50516|VATA_MOUSE,Atp6v1a,VATA_MOUSE V-type proton ATPase catalytic subunit A,1634,19,C,2734.97,3063.46,2652.97,2797.3,2409.73,2286.52,2187.55,1872.61,2294.14,2332.25,2398.85
sp|P50518|VATE1_MOUSE,Atp6v1e1,VATE1_MOUSE V-type proton ATPase subunit E 1,864,13,C,1997.7,2189.55,1643.59,2003.33,1626.66,1650.16,1299.89,1208.74,1728.5,1807.24,1914.29
sp|P50543|S10AB_MOUSE,S100a11,S10AB_MOUSE Protein S100-A11,2863,7,C,951.657,1093.55,857.451,934.256,598.907,581.754,768.736,641.695,769.766,743.722,677.808
sp|P50544|ACADV_MOUSE,Acadvl,"ACADV_MOUSE Very long-chain specific acyl-CoA dehydrogenase, mitochondrial",1970,32,C,5424.82,5855.44,6153.21,5589.52,5389.04,5595.32,5178.15,5447.95,6860.28,7224.03,6348.65
sp|P50580|PA2G4_MOUSE,Pa2g4,PA2G4_MOUSE Proliferation-associated protein 2G4,222,50,C,7852.72,8825.14,6545.79,7010.29,7204.73,7211.89,7720.68,7241.9,7641.44,7652.1,8892.64
sp|P50752|TNNT2_MOUSE,Tnnt2,"TNNT2_MOUSE Troponin T, cardiac muscle",1920,1,C,195.445,189.837,56.2085,55.8271,37.7446,42.1928,13.6834,13.7831,13.481,14.4236,28.7408
sp|P51125|ICAL_MOUSE,Cast,ICAL_MOUSE Calpastatin,426,29,C,4619.46,4898.17,4581.23,4713.15,5085.84,4814.42,5175.22,4976.78,5073.64,5156.27,5172.7
sp|P51125-3|ICAL_MOUSE,Cast,ICAL_MOUSE Isoform 3 of Calpastatin,426,2,C,606.212,650.895,568.545,615.453,621.81,642.358,635.659,526.048,644.276,600.694,578.633
sp|P51141|DVL1_MOUSE,Dvl1,DVL1_MOUSE Segment polarity protein dishevelled homolog DVL-1,1930,5,C,493.492,532.529,419.415,436.717,367.417,368.904,477.425,361.052,442.89,435.611,379.373
sp|P51150|RAB7A_MOUSE,Rab7a,RAB7A_MOUSE Ras-related protein Rab-7a,2161,16,C,3149.41,2073.21,2319.75,1858.25,2675.2,2435.06,2070.49,2463.55,3130.3,3117.93,2747.23
sp|P51163|HEM4_MOUSE,Uros,HEM4_MOUSE Uroporphyrinogen-III synthase,5052,3,C,344.45,411.198,276.45,323.973,331.972,342.654,248.109,217.979,371.252,345.441,273.744
sp|P51174|ACADL_MOUSE,Acadl,"ACADL_MOUSE Long-chain specific acyl-CoA dehydrogenase, mitochondrial",1175,22,C,3975.35,4202.31,4329.6,3943.04,3809.28,3881.6,3209.36,3259.23,4194.17,4191.85,4037.32
sp|P51175|PPOX_MOUSE,Ppox,PPOX_MOUSE Protoporphyrinogen oxidase,466,7,C,486.671,498.205,457.098,518.583,479.572,467.109,503.186,531.562,481.154,508.093,584.29
sp|P51410|RL9_MOUSE,Rpl9,RL9_MOUSE 60S ribosomal protein L9,3327,16,C,4215.45,4711.52,4075.51,4662.49,3729.69,4106.33,4506.9,4203.71,4246.12,4314.2,3759.74
sp|P51432|PLCB3_MOUSE,Plcb3,"PLCB3_MOUSE 1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-3",1920,25,C,2706.94,2407.4,2608.12,2252.22,2761.46,2694,2289.07,2569.22,3364.75,3599.36,2603.82
sp|P51569|AGAL_MOUSE,Gla,AGAL_MOUSE Alpha-galactosidase A,1775,4,C,359.331,401.537,430.913,467.763,530.167,524.025,457.641,414.856,545.785,504.803,586.6
sp|P51660|DHB4_MOUSE,Hsd17b4,DHB4_MOUSE Peroxisomal multifunctional enzyme type 2,1091,27,C,3265.09,3537.25,3435.31,3612.33,4409.45,4685.97,4477.38,4095.79,4383.75,4464.67,3024.62
sp|P51791|CLCN3_MOUSE,Clcn3,CLCN3_MOUSE H(+)/Cl(-) exchange transporter 3,4491,3,C,565.444,557.269,483.817,537.09,304.171,342.119,255.669,260.477,237.952,221.969,260.645
sp|P51807|DYLT1_MOUSE,Dynlt1,DYLT1_MOUSE Dynein light chain Tctex-type 1,3938,2,C,412.122,501.565,399.779,463.793,383.38,432.228,386.713,380.417,319.62,339.635,519.611
sp|P51829|ADCY7_MOUSE,Adcy7,ADCY7_MOUSE Adenylate cyclase type 7,2975,10,C,1180.03,935.267,1131.22,1093.17,1103.78,1065.69,1373.97,1601.77,941.034,928.414,1025.47
sp|P51855|GSHB_MOUSE,Gss,GSHB_MOUSE Glutathione synthetase,1590,12,C,2589.94,3085.35,2533.32,2887.67,1974.07,2020.89,1987.3,1641.32,2098.21,1995.43,2450.33
sp|P51859|HDGF_MOUSE,Hdgf,HDGF_MOUSE Hepatoma-derived growth factor,162,25,C,4485.31,4841.4,4510,4847.1,5402.52,5440.7,5645.13,4904.15,4336.03,4231.62,4583.29
sp|P51863|VA0D1_MOUSE,Atp6v0d1,VA0D1_MOUSE V-type proton ATPase subunit d 1,644,7,C,1154.32,1308.11,1155.07,1233.1,931.984,996.581,840.648,757.135,1066.12,1037.35,1072.12
sp|P51881|ADT2_MOUSE,Slc25a5,ADT2_MOUSE ADP/ATP translocase 2,515,18,C,1941.83,1760.64,2213.51,1715.12,2765.82,2590.99,2178.59,2669.69,2802.37,2939.7,3347.36
sp|P51910|APOD_MOUSE,Apod,APOD_MOUSE Apolipoprotein D,6362,1,C,466.986,434.001,398.669,357.022,261.967,229.405,264.985,250.656,198.978,181.211,183.979
sp|P51912|AAAT_MOUSE,Slc1a5,AAAT_MOUSE Neutral amino acid transporter B(0),5821,2,C,166.21,129.517,138.926,126.834,219.824,216.999,324.544,358.929,177.872,182.19,201.846
sp|P51943|CCNA2_MOUSE,Ccna2,CCNA2_MOUSE Cyclin-A2,3119,8,C,728.913,680.537,718.03,767.779,928.373,934.297,938.6,1016.6,771.84,785.105,743.105
sp|P51949|MAT1_MOUSE,Mnat1,MAT1_MOUSE CDK-activating kinase assembly factor MAT1,4068,5,C,289.695,333.199,352.553,354.321,295.287,308.102,300.601,251.907,281.981,268.974,282.948
sp|P51954|NEK1_MOUSE,Nek1,NEK1_MOUSE Serine/threonine-protein kinase Nek1,1264,2,C,130.404,93.6073,155.356,124.23,138.977,145.912,131.383,153.478,153.55,152.997,174.847
sp|P52019|ERG1_MOUSE,Sqle,ERG1_MOUSE Squalene monooxygenase,1703,3,C,357.582,195.558,413.928,196.68,252.53,261.01,203.376,283.473,578.341,640.761,522.856
sp|P52196|THTR_MOUSE,Tst,THTR_MOUSE Thiosulfate sulfurtransferase,2442,3,C,385.715,413.209,333.823,351.586,538.523,556.399,549.131,617.743,459.433,456.421,556.885
sp|P52293|IMA1_MOUSE,Kpna2,IMA1_MOUSE Importin subunit alpha-1,1093,13,C,3005.5,2722.77,2229.69,2313.39,2031.02,2060.14,2465.37,2499.34,2504.69,2674.56,2446.8
sp|P52431|DPOD1_MOUSE,Pold1,DPOD1_MOUSE DNA polymerase delta catalytic subunit,938,18,C,1389.03,1195,1286.85,1258.28,1861.92,1870.4,1894.3,2165.19,1847.76,1996.3,2058.15
sp|P52432|RPAC1_MOUSE,Polr1c,RPAC1_MOUSE DNA-directed RNA polymerases I and III subunit RPAC1,3776,9,C,1175.95,1407.06,1154.58,1313.41,1159.61,1199.06,1244.96,956.795,971.611,932.732,1174.67
sp|P52479-2|UBP10_MOUSE,Usp10,UBP10_MOUSE Isoform 2 of Ubiquitin carboxyl-terminal hydrolase 10,3485,15,C,2873.57,3010.93,2885.32,3105.92,2089.62,2099.27,2303.39,2216.84,2481.75,2429.38,2860.78
sp|P52480|KPYM_MOUSE,Pkm,KPYM_MOUSE Pyruvate kinase PKM,115,164,C,16494.2,19847.4,16177,19836.2,20225.9,20896,21805.7,20292.8,18311.8,19289.9,16233.6
sp|P52480-2|KPYM_MOUSE,Pkm,KPYM_MOUSE Isoform M1 of Pyruvate kinase PKM,115,6,C,339.456,433.907,412.675,410.451,884.079,962.112,871.245,841.888,345.132,326.909,1026.86
sp|P52482|UB2E1_MOUSE,Ube2e1,UB2E1_MOUSE Ubiquitin-conjugating enzyme E2 E1,2382,5,C,687.931,706.227,654.062,812.296,614.957,633.948,689.179,649.715,571.179,622.767,748.516
sp|P52483|UB2E3_MOUSE,Ube2e3,UB2E3_MOUSE Ubiquitin-conjugating enzyme E2 E3,2382,1,C,154.25,163.618,175.752,192.351,135.106,132.269,142.271,139.052,145.185,148.452,140.245
sp|P52503|NDUS6_MOUSE,Ndufs6,"NDUS6_MOUSE NADH dehydrogenase [ubiquinone] iron-sulfur protein 6, mitochondrial",4589,4,C,965.655,1252.06,1264.08,1343.45,804.59,873.13,669.625,636.033,533.808,463.308,661.338
sp|P52623|UCK1_MOUSE,Uck1,UCK1_MOUSE Uridine-cytidine kinase 1,4268,6,C,685.849,738.62,739.889,712.981,623.642,634.334,734.546,749.987,689.639,718.486,887.474
sp|P52624|UPP1_MOUSE,Upp1,UPP1_MOUSE Uridine phosphorylase 1,5779,2,C,490.682,575.891,383.147,471.769,230.08,250.871,417.807,375.057,205.545,213.369,173.82
sp|P52651|RHOX5_MOUSE,Rhox5,RHOX5_MOUSE Homeobox protein Rhox5,812,6,C,226.074,178.849,221.248,236.843,1960.45,1981.45,194.136,152.1,193.004,152.026,149.582
sp|P52734|FGD1_MOUSE,Fgd1,"FGD1_MOUSE FYVE, RhoGEF and PH domain-containing protein 1",192,9,C,471.465,468.467,546.214,520.088,752.471,711.602,761.312,726.585,767.29,763.761,787.052
sp|P52760|UK114_MOUSE,Hrsp12,UK114_MOUSE Ribonuclease UK114,187,6,C,637.084,753.642,633.503,707.162,820.145,898.311,770.489,664.79,937.636,950.846,1070.78
sp|P52795|EFNB1_MOUSE,Efnb1,EFNB1_MOUSE Ephrin-B1,815,4,C,167.822,160.931,164.222,164.58,488.727,466.863,358.38,369.338,284.719,261.274,314.233
sp|P52800|EFNB2_MOUSE,Efnb2,EFNB2_MOUSE Ephrin-B2,4745,4,C,554.069,503.015,516.949,577.028,494.261,514.416,420.47,296.593,334.735,475.641,386.74
sp|P52825|CPT2_MOUSE,Cpt2,"CPT2_MOUSE Carnitine O-palmitoyltransferase 2, mitochondrial",2454,13,C,1059.77,1325.37,1181.82,1263.49,1303.87,1405.63,1169.39,1159.53,1274.87,1236.76,992.628
sp|P52875|TM165_MOUSE,Tmem165,TM165_MOUSE Transmembrane protein 165,5599,6,C,487.203,503.254,478.936,541.423,526.125,585.381,563.997,547.482,535.741,523.608,560.269
sp|P52912|TIA1_MOUSE,Tia1,TIA1_MOUSE Nucleolysin TIA-1,3080,6,C,349.77,409.417,324.393,377.039,398.791,408.31,374.448,318.211,404.2,374.817,298.244
sp|P52927|HMGA2_MOUSE,Hmga2,HMGA2_MOUSE High mobility group protein HMGI-C,4941,9,C,1062.35,617.213,1436.88,1093.48,1033.33,915.715,698.863,896.205,827.158,818.214,923.448
sp|P53368|8ODP_MOUSE,Nudt1,"8ODP_MOUSE 7,8-dihydro-8-oxoguanine triphosphatase",6357,1,C,92.126,100.276,85.9321,90.0245,83.8731,89.3153,81.2383,72.1055,104.355,89.6366,80.1358
sp|P53395|ODB2_MOUSE,Dbt,"ODB2_MOUSE Lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex, mitochondrial",4159,6,C,329.715,367.342,234.124,215.939,704.578,770.81,689.602,664.962,472.082,478.048,630.967
sp|P53569|CEBPZ_MOUSE,Cebpz,CEBPZ_MOUSE CCAAT/enhancer-binding protein zeta,1781,18,C,2814.53,1653.55,3050.55,2124.48,2712.28,2520.21,2414.22,3429.13,2664.46,2695.5,3460.94
sp|P53612|PGTB2_MOUSE,Rabggtb,PGTB2_MOUSE Geranylgeranyl transferase type-2 subunit beta,4000,4,C,807.593,889.519,858.088,900.802,653.194,666.138,928.605,754.94,801.617,686.691,759.319
sp|P53657|KPYR_MOUSE,Pklr,KPYR_MOUSE Pyruvate kinase PKLR,115,2,C,123.758,150.139,130.284,115.923,147.532,134.006,162.505,146.563,135.175,155.733,46.9286
sp|P53668|LIMK1_MOUSE,Limk1,LIMK1_MOUSE LIM domain kinase 1,3406,4,C,464.6,541.209,402.192,447.444,225.928,205.408,195.96,186.928,275.816,296.516,207.781
sp|P53690|MMP14_MOUSE,Mmp14,MMP14_MOUSE Matrix metalloproteinase-14,2529,15,C,2466.12,2535.17,2089.2,1954.21,2133.37,2177.86,1902.17,1835.78,2010.87,1901.52,1968.12
sp|P53702|CCHL_MOUSE,Hccs,CCHL_MOUSE Cytochrome c-type heme lyase,1413,4,C,225.972,233.332,226.385,233.854,245.56,268.154,250.118,223.585,266.565,258.284,210.062
sp|P53762|ARNT_MOUSE,Arnt,ARNT_MOUSE Aryl hydrocarbon receptor nuclear translocator,2674,3,C,120.686,122.252,107.192,129.199,122.514,131.178,147.089,128.276,124.734,123.209,109.543
sp|P53798|FDFT_MOUSE,Fdft1,FDFT_MOUSE Squalene synthase,5743,4,C,505.548,304.432,552.459,335.479,321.837,348.673,217.617,255.663,762.86,846.31,531.833
sp|P53810|PIPNA_MOUSE,Pitpna,PIPNA_MOUSE Phosphatidylinositol transfer protein alpha isoform,648,25,C,3306.14,3863.3,3539.97,3847.72,3783.99,4082.6,4155.05,3763.55,4249.17,4082.21,4634.43
sp|P53811|PIPNB_MOUSE,Pitpnb,PIPNB_MOUSE Phosphatidylinositol transfer protein beta isoform,648,14,C,2250.41,2183.14,2116.67,2160.02,2351.88,2272.06,2417.26,2380.21,2139.45,2113.95,2730.3
sp|P53986|MOT1_MOUSE,Slc16a1,MOT1_MOUSE Monocarboxylate transporter 1,3340,6,C,964.055,844.451,913.337,935.622,762.082,788.672,877.617,897.51,583.441,573.424,755.777
sp|P53994|RAB2A_MOUSE,Rab2a,RAB2A_MOUSE Ras-related protein Rab-2A,4075,14,C,1975.44,1467.13,2063.53,1742.31,1644.47,1565.92,1534.59,1765.41,1891.87,1954.08,1471.95
sp|P53995|APC1_MOUSE,Anapc1,APC1_MOUSE Anaphase-promoting complex subunit 1,1328,16,C,2411.26,2710.58,2629.07,3014.63,2675.98,2866.72,3088.1,2751.2,2378.16,2153.68,2012.33
sp|P53996|CNBP_MOUSE,Cnbp,CNBP_MOUSE Cellular nucleic acid-binding protein,2832,14,C,2260.06,2960.81,1995.95,2125.93,2896.19,3218.85,3381.66,3180.09,2937.51,3268.17,2615.37
sp|P53996-2|CNBP_MOUSE,Cnbp,CNBP_MOUSE Isoform 2 of Cellular nucleic acid-binding protein,2832,2,C,307.227,359.501,264.742,266.536,416.305,400.973,427.129,371.999,360.652,361.817,319.011
sp|P54071|IDHP_MOUSE,Idh2,"IDHP_MOUSE Isocitrate dehydrogenase [NADP], mitochondrial",2414,23,C,4656.1,5749.33,5184.25,5191.87,3845.01,4264.77,3777.77,3783.69,5369.06,5686.66,4395.41
sp|P54099|DPOG1_MOUSE,Polg,DPOG1_MOUSE DNA polymerase subunit gamma-1,2238,1,C,11.0567,17.1663,16.8916,14.8934,13.4744,18.009,13.8241,10.937,20.3051,24.9209,18.0259
sp|P54103|DNJC2_MOUSE,Dnajc2,DNJC2_MOUSE DnaJ homolog subfamily C member 2,374,15,C,1755.99,1360.1,1912.89,1511.53,2045.26,1924.9,1559.11,1992.68,1467.5,1573.13,2617.28
sp|P54116|STOM_MOUSE,Stom,STOM_MOUSE Erythrocyte band 7 integral membrane protein,1929,8,C,2139.7,2147.45,2003.35,2118.41,1358.7,1260.62,800.148,796.482,1220.99,1118.3,1200.21
sp|P54227|STMN1_MOUSE,Stmn1,STMN1_MOUSE Stathmin,1445,9,C,2787.35,3160.49,3066.12,3574.53,1353.1,1418.84,2494.7,1847.92,2547.25,2288.4,1088.35
sp|P54254|ATX1_MOUSE,Atxn1,ATX1_MOUSE Ataxin-1,1854,3,C,151.655,183.411,133.373,151.111,160.207,164.468,150.82,131.508,159.292,159.338,143.703
sp|P54265|DMPK_MOUSE,Dmpk,DMPK_MOUSE Myotonin-protein kinase,1020,3,C,296.601,304.429,228.318,245.237,195.364,233.823,192.656,184.349,292.151,286.415,214.121
sp|P54276|MSH6_MOUSE,Msh6,MSH6_MOUSE DNA mismatch repair protein Msh6,645,28,C,2813.86,2836.09,3310.36,3525.34,3555.86,3810.06,4069.1,3994,4030.73,3858.26,3692.92
sp|P54279|PMS2_MOUSE,Pms2,PMS2_MOUSE Mismatch repair endonuclease PMS2,5230,4,C,197.591,167.341,197.912,178.546,227.766,215.488,290.098,301.723,209.452,218.103,257.845
sp|P54285|CACB3_MOUSE,Cacnb3,CACB3_MOUSE Voltage-dependent L-type calcium channel subunit beta-3,3755,4,C,256.742,258.227,237.296,237.808,200.635,195.456,153.496,140.265,249.538,268.061,274.344
sp|P54726|RD23A_MOUSE,Rad23a,RD23A_MOUSE UV excision repair protein RAD23 homolog A,2305,13,C,2037.24,2276.2,1953,2040.3,1480.64,1424.8,2775.25,2170.96,1672.34,1618.84,1051.11
sp|P54728|RD23B_MOUSE,Rad23b,RD23B_MOUSE UV excision repair protein RAD23 homolog B,2305,9,C,1368.94,1607.44,1377,1475.43,896.011,907.723,1057.29,862.037,983.984,949.68,686.616
sp|P54729|NUB1_MOUSE,Nub1,NUB1_MOUSE NEDD8 ultimate buster 1,79,18,C,2232.14,1789.5,2223.64,2074.57,2367.79,2267.57,2173.3,2490.08,2395.8,2465.32,2826.16
sp|P54731|FAF1_MOUSE,Faf1,FAF1_MOUSE FAS-associated factor 1,3867,12,C,1965.58,2214.96,2005.81,2327.59,1734.93,1823.99,2094.31,1819.16,1662.7,1547.26,887.075
sp|P54751|SIA4A_MOUSE,St3gal1,"SIA4A_MOUSE CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase 1",2749,3,C,251.093,225.558,180.022,177.044,68.8443,74.4322,34.7434,39.2984,118.011,141.082,112.981
sp|P54754|EPHB3_MOUSE,Ephb3,EPHB3_MOUSE Ephrin type-B receptor 3,466,8,C,465.167,471.72,424.982,395.655,469.905,478.719,635.425,615.547,571.355,561.192,534.209
sp|P54761|EPHB4_MOUSE,Ephb4,EPHB4_MOUSE Ephrin type-B receptor 4,466,1,C,90.7041,65.6908,62.6994,73.5127,93.5688,84.7182,73.1858,79.0361,62.8304,56.3306,60.4179
sp|P54763|EPHB2_MOUSE,Ephb2,EPHB2_MOUSE Ephrin type-B receptor 2,466,1,C,13.4666,11.7524,23.5629,21.8393,28.5874,23.4848,60.4288,61.7458,14.1114,18.0961,9.82653
sp|P54775|PRS6B_MOUSE,Psmc4,PRS6B_MOUSE 26S protease regulatory subunit 6B,759,15,C,3201.32,3471.83,3005.27,3197.59,3039.81,2921.64,3037.72,2621.86,2944.74,2785.12,2617.47
sp|P54818|GALC_MOUSE,Galc,GALC_MOUSE Galactocerebrosidase,5725,1,C,64.0704,64.831,118.544,123.673,76.0762,71.0105,90.8958,80.8719,80.1232,63.4456,125.808
sp|P54822|PUR8_MOUSE,Adsl,PUR8_MOUSE Adenylosuccinate lyase,2757,19,C,2415.65,2503.91,2320.2,2596.2,2745.45,2807.57,3263.94,3187.66,2657.48,2749.86,3468.64
sp|P54823|DDX6_MOUSE,Ddx6,DDX6_MOUSE Probable ATP-dependent RNA helicase DDX6,2268,18,C,2711.66,2412.34,2350.03,2648.03,2056.95,2073.35,2326.13,2297.8,2435.84,2564.65,3116.99
sp|P54923|ADPRH_MOUSE,Adprh,ADPRH_MOUSE [Protein ADP-ribosylarginine] hydrolase,184,17,C,2617.09,3261.64,2434.04,2703.39,3112.84,3312.79,3042.7,2705.35,3249.23,3358.05,1983.06
sp|P55096|ABCD3_MOUSE,Abcd3,ABCD3_MOUSE ATP-binding cassette sub-family D member 3,1289,16,C,1172.05,968.284,1264.74,1144.04,1862.43,1677.73,1561.39,2031.11,1282.01,1322.58,2098.41
sp|P55097|CATK_MOUSE,Ctsk,CATK_MOUSE Cathepsin K,5163,1,C,242.654,176.774,232.488,245.171,289.243,264.181,204.157,206.157,148.49,170.443,194.583
sp|P55098|PEX2_MOUSE,Pex2,PEX2_MOUSE Peroxisome biogenesis factor 2,4575,1,C,110.339,88.5257,115.661,98.9929,98.4888,89.7531,102.371,133.677,103.729,109.38,184.095
sp|P55200|KMT2A_MOUSE,Kmt2a,KMT2A_MOUSE Histone-lysine N-methyltransferase 2A,2616,8,C,834.289,627.094,945.623,691.26,1069.8,1012.21,905.487,1116.99,998.531,1005.07,1002.43
sp|P55258|RAB8A_MOUSE,Rab8a,RAB8A_MOUSE Ras-related protein Rab-8A,4075,15,C,3603.56,2692.07,3426.95,2988.35,3527.11,3215.27,2940.37,3413.75,3518.59,3426.1,3689.42
sp|P55264|ADK_MOUSE,Adk,ADK_MOUSE Adenosine kinase,86,15,C,1578.14,1738.22,1541.7,1783.29,2338.15,2460.16,2692.57,2300.08,1696.49,1539.08,1964.82
sp|P55302|AMRP_MOUSE,Lrpap1,AMRP_MOUSE Alpha-2-macroglobulin receptor-associated protein,3271,10,C,2335.03,2257.57,1905.77,1744.16,2281.88,2151.47,2475.79,2333.61,1816.3,1751.27,2411.38
sp|P55821|STMN2_MOUSE,Stmn2,STMN2_MOUSE Stathmin-2,1445,2,C,765.579,774.881,1123.34,1175.01,137.874,115.058,294.604,272.507,568.854,583.224,798.922
sp|P56135|ATPK_MOUSE,Atp5j2,"ATPK_MOUSE ATP synthase subunit f, mitochondrial",3342,3,C,376.194,375.502,506.964,366.726,614.623,649.668,452.063,555.956,463.887,519.812,410.902
sp|P56183|RRP1_MOUSE,Rrp1,RRP1_MOUSE Ribosomal RNA processing protein 1 homolog A,4453,3,C,498.389,481.233,513.371,518.18,462.537,494.446,466.975,428.867,393.672,408.883,461.189
sp|P56212|ARP19_MOUSE,Arpp19,ARP19_MOUSE cAMP-regulated phosphoprotein 19,4176,4,C,501.767,386.36,566.459,549.302,576.08,545.921,589.86,633.265,574.678,627.33,599.815
sp|P56213|ALR_MOUSE,Gfer,ALR_MOUSE FAD-linked sulfhydryl oxidase ALR,4806,2,C,223.889,235.146,208.07,233.005,256.735,281.766,224.164,214.41,218.037,212.467,227.094
sp|P56371|RAB4A_MOUSE,Rab4a,RAB4A_MOUSE Ras-related protein Rab-4A,4075,2,C,404.859,337.25,356.681,315.285,302.409,278.248,233.473,267.872,389.953,388.099,418.755
sp|P56375|ACYP2_MOUSE,Acyp2,ACYP2_MOUSE Acylphosphatase-2,663,2,C,394.367,465.651,327.874,382.211,236.672,230.191,346.781,314.139,333.999,333.407,199.157
sp|P56376|ACYP1_MOUSE,Acyp1,ACYP1_MOUSE Acylphosphatase-1,1997,6,C,432.917,475.125,471.207,494.194,445.063,397.457,417.417,359.751,514.867,506.598,463.858
sp|P56379|68MP_MOUSE,Mp68,68MP_MOUSE 6.8 kDa mitochondrial proteolipid,5757,1,C,34.8331,27.9458,32.2219,34.6826,30.1484,28.207,20.8831,20.6193,29.8786,23.7832,29.1318
sp|P56380|AP4A_MOUSE,Nudt2,AP4A_MOUSE Bis(5'-nucleosyl)-tetraphosphatase [asymmetrical],553,5,C,661.732,744.175,654.716,686.15,461.33,455.805,543.281,457.032,629.312,626.103,393.073
sp|P56382|ATP5E_MOUSE,Atp5e,"ATP5E_MOUSE ATP synthase subunit epsilon, mitochondrial",4817,4,C,400.034,406.721,445.094,384.535,443.428,461.581,423.915,415.876,401.327,391.491,423.48
sp|P56383|AT5G2_MOUSE,Atp5g2,"AT5G2_MOUSE ATP synthase F(0) complex subunit C2, mitochondrial",3445,2,C,135.056,109.728,147.456,116.857,136.532,119.735,93.5331,114.72,147.819,103.614,133.618
sp|P56389|CDD_MOUSE,Cda,CDD_MOUSE Cytidine deaminase,4785,3,C,956.302,993.945,606.651,610.617,84.7256,83.2199,210.938,160.327,419.947,394.967,230.748
sp|P56390|CKS2_MOUSE,Cks2,CKS2_MOUSE Cyclin-dependent kinases regulatory subunit 2,5219,1,C,282.482,376.828,346.033,391.193,229.425,238.4,246.678,219.235,325.851,308.694,200.229
sp|P56391|CX6B1_MOUSE,Cox6b1,CX6B1_MOUSE Cytochrome c oxidase subunit 6B1,4783,5,C,685.435,759.235,754.835,759.067,565.027,527.468,546.217,467.509,405.851,385,937.616
sp|P56394|COX17_MOUSE,Cox17,COX17_MOUSE Cytochrome c oxidase copper chaperone,3096,2,C,303.952,304.405,258.106,332.365,152.85,152.918,181.574,148.965,213.378,206.499,181.622
sp|P56395|CYB5_MOUSE,Cyb5a,CYB5_MOUSE Cytochrome b5,4451,4,C,390.451,441.696,293.831,291.359,398.93,416.197,612.634,533.7,858.131,886.179,439.173
sp|P56399|UBP5_MOUSE,Usp5,UBP5_MOUSE Ubiquitin carboxyl-terminal hydrolase 5,2455,32,C,4801.26,5629.72,3731.74,4311.08,5199.69,5373.21,5337.88,4506.31,6067.74,5607.19,3944.96
sp|P56480|ATPB_MOUSE,Atp5b,"ATPB_MOUSE ATP synthase subunit beta, mitochondrial",1378,61,C,6003.65,7281.79,6489.04,6436.93,8378.02,8869.53,7381.89,6614.84,6856.1,6749.92,4863.05
sp|P56542|DNS2A_MOUSE,Dnase2,DNS2A_MOUSE Deoxyribonuclease-2-alpha,5143,2,C,134.189,162.151,129.265,139.451,130.414,137.188,325.424,284.993,113.075,117.289,117.425
sp|P56546|CTBP2_MOUSE,Ctbp2,CTBP2_MOUSE C-terminal-binding protein 2,1603,8,C,661.833,821.075,687.828,720.719,741.479,721.027,768.835,612.223,695.933,641.29,650.979
sp|P56564|EAA1_MOUSE,Slc1a3,EAA1_MOUSE Excitatory amino acid transporter 1,3838,2,C,22.4178,16.871,25.0289,21.651,77.8068,91.0011,126.058,162.182,148.227,138.89,40.1064
sp|P56581|TDG_MOUSE,Tdg,TDG_MOUSE G/T mismatch-specific thymine DNA glycosylase,4767,4,C,517.08,471.663,576.855,509.428,293.896,271.11,274.987,306.468,242.464,257.773,373.468
sp|P56671|MAZ_MOUSE,Maz,MAZ_MOUSE Myc-associated zinc finger protein,250,2,C,94.1981,90.86,110.546,92.7025,137.715,135.892,123.416,132.425,126.301,118.675,139.271
sp|P56695|WFS1_MOUSE,Wfs1,WFS1_MOUSE Wolframin,308,8,C,2228.83,542.557,2456.82,1124.74,1281.99,1080.02,646.302,1201.43,963.362,1043.05,2366.1
sp|P56812|PDCD5_MOUSE,Pdcd5,PDCD5_MOUSE Programmed cell death protein 5,2547,6,C,1297.77,1013.48,886.366,1158.91,853.677,870.763,1125.81,866.548,932.27,938.441,793.719
sp|P56818|BACE1_MOUSE,Bace1,BACE1_MOUSE Beta-secretase 1,6084,1,C,45.8264,48.1189,44.9628,47.3973,61.3715,61.7267,79.4961,83.351,50.4941,52.7818,64.1945
sp|P56873|SSA27_MOUSE,Sssca1,SSA27_MOUSE Sjoegren syndrome/scleroderma autoantigen 1 homolog,369,6,C,709.939,891.825,989.824,1165.15,836.875,850.232,871.099,773.44,714.447,676.163,1181.8
sp|P56959|FUS_MOUSE,Fus,FUS_MOUSE RNA-binding protein FUS,234,15,C,2209.79,2353.91,2337.65,2442.06,2084.06,2125.08,2110.16,1824.74,2201.29,2063.21,1936.46
sp|P56960|EXOSX_MOUSE,Exosc10,EXOSX_MOUSE Exosome component 10,1250,19,C,3476.95,1983.77,3683.86,2810.23,3452.59,3253.86,2817.04,3596.41,3488.36,3486.67,4059.1
